case,run,elapsed_seconds,user_seconds,sys_seconds,max_rss_kb
kernel-baseline,1,0.04,0.04,0.00,7064
kernel-minimal-cilium-loader,1,10.87,1.43,9.42,7056
kernel-full-otel,1,7.36,0.67,6.65,7236
kernel-baseline,2,0.05,0.04,0.00,7228
kernel-minimal-cilium-loader,2,10.88,1.41,9.45,7108
kernel-full-otel,2,6.26,0.65,5.59,7044
kernel-baseline,3,0.05,0.04,0.00,7252
kernel-minimal-cilium-loader,3,10.75,1.43,9.31,7224
kernel-full-otel,3,4.80,0.40,4.37,7252
